Content,Dates,Bold,Italic,Short,AllCaps
 TELEMARKETERS,08/28,0,0,0,1
 HARD KNOCKS,08/29,0,0,0,1
 SACRAMENTO,08/30,1,0,0,1
 WANTED: THE ESCAPE OF CARLOS GHOSN,08/30,0,0,0,1
 Down the River Unto the Sea,08/31,0,1,0,0
 HOW TO WITH JOHN WILSON: TRACK YOUR PACKAGE,09/02,0,0,0,1
 THE BRIDGE,09/02,1,0,0,1
 (’59),09/02,0,0,0,0
 WANTED: THE ESCAPE OF CARLOS GHOSN (3),09/03,0,0,0,1
 THE DEVIL DOLL,09/04,1,0,0,1
 Begin principal photography on PRESENCE,09/08,1,0,0,0
 US OPEN WOMEN’S FINAL,09/09,0,0,0,1
 OUT OF THE PAST,09/09,1,0,0,1
 US OPEN MEN’S FINAL,09/10,0,0,0,1
 The Fraud,09/10,0,1,0,0
 My Husband,09/11,0,1,0,0
 Nothing Special,09/16,0,1,0,0
 MICHELLE WOLF: IT’S GREAT TO BE HERE (3),09/16,0,0,0,1
 THE OLD DARK HOUSE,09/17,1,0,0,1
 The Last Devil to Die,09/20,0,1,0,0
 The Bradshaw Variations,09/21,0,1,0,0
 HARLEY AND KATYA,09/22,1,0,0,1
 HOW DID THEY BUILD THAT?,09/23,0,0,0,1
 A PRIVATE FUNCTION,09/23,1,0,0,1
 “The Shark is Broken” Joseph Mixon,09/24,0,0,0,0
 Ian Shaw,09/24,0,0,0,0
 The Temporary,09/25,0,1,0,0
 PRESENCE,09/25,1,0,0,1
 Cocktails with George and Martha,09/27,0,1,0,0
 ICE COLD: MURDER,09/30,0,0,0,1
 COFFEE,09/30,0,0,0,1
 AND JESSICA WONGSO,09/30,0,0,0,1
 NO ONE WILL EVER SAVE YOU,09/30,1,0,0,1
 THE FORTY-FIRST,09/30,1,0,0,1
 Don’t Look at Me Like That,10/01,0,1,0,0
 Tracy Flick Can’t Win,10/01,0,1,0,0
 PRESENCE,10/01,1,0,0,1
 I BASILISCHI,10/03,1,0,0,1
 KING BOY*,10/04,1,0,1,1
 PAST LIVES,10/05,1,0,0,1
 ENCOUNTERS (2),10/05,0,0,0,1
 SAVIOR COMPLEX (2),10/06,0,0,0,1
 DATELINE,10/06,0,0,0,1
 SAVIOR COMPLEX,10/07,0,0,0,1
 FAIR PLAY,10/07,1,0,0,1
 Brooklyn Crime Novel,10/08,0,1,0,0
 Down the Drain,10/08,0,1,0,0
 Surely You Can’t Be Serious,10/10,0,1,0,0
 Jim Abrahams,10/10,0,0,0,0
 Jerry Zucker,10/10,0,0,0,0
 PAINKILLER: THE TYLENOL MURDERS (5),10/10,0,0,0,1
 AIRPLANE!,10/11,1,0,0,1
 JIMMY SAVILLE: A BRITISH HORROR STORY (2),10/12,0,0,0,1
 Every Man a King,10/12,0,1,0,0
 ZAZIE DANS LE METRO,10/15,1,0,0,1
 Activities of Daily Living,10/16,0,1,0,0
 THE RIPPER (4),10/16,0,0,0,1
 COLEEN ROONEY: THE REAL WAGATHA CHRISTIE (3),10/18,0,0,0,1
 THE STARLING GIRL,10/19,1,0,0,1
 The Man in the Corduroy Suit,10/20,0,1,0,0
 “Trent and Trudy Lee: A Touch of Vegas” Genna Ryan and Kyle Barisich,10/21,0,0,0,0
 Beside the Syrian Sea,10/23,0,1,0,0
 SHAMPOO,10/25,1,0,0,1
 How to Betray Your Country,10/28,0,1,0,0
 VJERN TOMIC: THE SPIDER-MAN OF PARIS,10/31,1,0,0,1
 ,10/31,0,0,0,0
Determined: A Science of Life Without Free Will,10/31,0,1,0,0
 Americanah,11/05,0,1,0,0
 ACROSS THE BRIDGE,11/05,1,0,0,1
 THE LONG GOOD FRIDAY,11/06,1,0,0,1
 THIS ENGLAND (2),11/06,0,0,0,1
 COLD WALLET,11/08,1,0,0,1
 THE BILLIONAIRE,11/08,0,0,0,1
 THE BUTLER,11/08,0,0,0,1
 AND THE BOYFRIEND (3),11/08,0,0,0,1
 Mapping the Darkness,11/09,0,1,0,0
 THE SEARCH FOR THE WORLD’S WORST FRAUD (2),11/10,0,0,0,1
 I’m a Fan,11/11,0,1,0,0
 THE PIGEON TUNNEL,11/11,1,0,0,1
 THE DISAPPEARANCE OF SHERE HITE,11/11,1,0,0,1
 Steven Spielberg: All the Films,11/12,0,1,0,0
 Arnaud Devillard,11/12,0,0,0,0
 Nicolas Schaller,11/12,0,0,0,0
 Cult Classic,11/12,0,1,0,0
 FABERGE: THE MAKING OF A LEGEND,11/12,0,0,0,1
 CRY TERROR!,11/12,1,0,0,1
 THE CURSE,11/12,0,0,0,1
 THE CAINE MUTINY COURT MARTIAL ,11/14,1,0,0,1
(’88),11/14,0,0,0,0
 BRAWN: THE IMPOSSIBLE FORMULA ONE STORY (2),11/15,0,0,0,1
 23 PACES TO BAKER STREET,11/17,1,0,0,1
 BRAWN: THE IMPOSSIBLE FORMULA ONE STORY (2),11/18,0,0,0,1
 The Clasp,11/19,0,1,0,0
 THE SIXTH COMMANDMENT (2),11/19,0,0,0,1
 THE SIXTH COMMANDMENT (2),11/20,0,0,0,1
 SALTBURN,11/21,1,0,0,1
 FALLEN LEAVES,11/22,1,0,0,1
 ANATOMY OF A FALL,11/22,1,0,0,1
 FERRARI,11/24,1,0,0,1
 SEBASTIAN,11/25,1,0,0,1
 (’68),11/25,0,0,0,0
 THE CURSE,11/25,0,0,0,1
 THE CURSE,11/26,0,0,0,1
 PRESENCE,11/27,1,0,0,1
 “Magic Mike Live” Channing Tatum,11/28,0,0,0,0
 Reid Carolin,11/28,0,0,0,0
 The New Leviathans,11/29,0,1,0,0
 HANGOVER SQUARE,11/29,1,0,0,1
 THE MIRROR CRACK’D,11/29,1,0,0,1
 The Thing Around Your Neck,12/02,0,1,0,0
 Notes on Grief,12/02,0,1,0,0
 STAMPED FROM THE BEGINNING,12/02,1,0,0,1
 KILLERS OF THE FLOWER MOON,12/02,1,0,0,1
 Crook Manifesto,12/04,0,1,0,0
 THE CURSE,12/05,0,0,0,1
 THIS ENGLAND,12/05,0,0,0,1
 MURDER IN BOSTON,12/06,0,0,0,1
 EILEEN,12/06,1,0,0,1
 ILS,12/07,1,0,0,1
 DREAM SCENARIO,12/09,1,0,0,1
 Eyes Wide Shut: Stanley Kubrick and the Making of His Final Film,12/10,0,1,0,0
 “The Addams Family” Marshall Brickman,12/10,0,0,0,0
 Rick Elice,12/10,0,0,0,0
 Andrew Lippa,12/10,0,0,0,0
 Wellness,12/10,0,1,0,0
 NAPOLEON,12/12,1,0,0,1
 (’23),12/12,0,0,0,0
 MURDER IN BOSTON,12/13,0,0,0,1
 THE ERAS TOUR,12/13,1,0,0,1
 THE BOYS IN THE BOAT,12/14,1,0,0,1
 CHRISTMAS AT THE CAMPBELLS,12/15,1,0,0,1
 THE ZONE OF INTEREST,12/15,1,0,0,1
 DATELINE,12/15,0,0,0,1
 The Rachel Incident,12/16,0,1,0,0
 AMERICAN FICTION,12/16,1,0,0,1
 The World is Yours,12/16,0,1,0,0
 THE CURSE (2),12/17,0,0,0,1
 ZARDOZ,12/17,1,0,0,1
  EYES WIDE SHUT,12/18,1,0,0,1
 THIS ENGLAND (2),12/19,0,0,0,1
 SCARFACE,12/19,1,0,0,1
 (’83),12/19,0,0,0,0
: MURDER IN BOSTON,12/20,0,0,0,1
 The Path to Paradise,12/21,0,1,0,0
 THE SEVEN PERCENT SOLUTION,12/21,1,0,0,1
 THREE DAYS OF THE CONDOR,12/21,1,0,0,1
 MAY DECEMBER,12/22,1,0,0,1
 DATELINE,12/22,0,0,0,1
 SMILEY’S PEOPLE (3),12/24,0,0,0,1
 Half of a Yellow Sun,12/25,0,1,0,0
 BRIDGE OF SPIES,12/26,1,0,0,1
 SMILEY’S PEOPLE,12/26,0,0,0,1
 SMILEY’S PEOPLE (2),12/27,0,0,0,1
 THE WRONG ARM OF THE LAW,12/27,1,0,0,1
 Purple Hibiscus,12/28,0,1,0,0
 NEITHER CONFIRM NOR DENY,12/28,1,0,0,1
 Candace Pert,12/29,0,1,0,0
 HOUSE HUNTERS INTERNATIONAL,12/29,0,0,0,1
 THE TEACHER’S LOUNGE,12/29,1,0,0,1
 CATCH-22,12/29,1,0,0,1
 GRAN TURISMO,12/29,1,0,0,1
 Genealogy of a Murder,12/30,0,1,0,0
 ORIGIN,12/31,1,0,0,1
 DAVE CHAPPELLE: THE DREAMER,12/31,0,0,0,1
 MICHAEL CLAYTON,12/31,1,0,0,1
